Time(s)	I(VDD)	V(107)
2.6e-08	-2.61167e-06	-1.66647e-06
2.61e-08	-2.48775e-06	-2.21898e-06
2.62e-08	-2.44284e-06	-2.76419e-06
2.63e-08	-2.32453e-06	-3.31267e-06
2.64e-08	-2.28502e-06	-3.85405e-06
2.65e-08	-2.17196e-06	-4.39888e-06
2.66e-08	-2.1375e-06	-4.93681e-06
2.67e-08	-2.02935e-06	-5.47838e-06
2.68e-08	-1.99961e-06	-6.01323e-06
2.69e-08	-1.89604e-06	-6.55188e-06
2.7e-08	-1.87072e-06	-7.08399e-06
2.71e-08	-1.77144e-06	-7.62007e-06
2.72e-08	-1.75024e-06	-8.14977e-06
2.73e-08	-1.65498e-06	-8.6836e-06
2.74e-08	-1.63764e-06	-9.2112e-06
2.75e-08	-1.54613e-06	-9.74308e-06
2.76e-08	-1.53239e-06	-1.02689e-05
2.77e-08	-1.4444e-06	-1.07991e-05
2.78e-08	-1.43403e-06	-1.13234e-05
2.79e-08	-1.34931e-06	-1.18523e-05
2.8e-08	-1.34209e-06	-1.23753e-05
2.81e-08	-1.26045e-06	-1.29031e-05
2.82e-08	-1.25617e-06	-1.34252e-05
2.83e-08	-1.17739e-06	-1.39521e-05
2.84e-08	-1.17587e-06	-1.44735e-05
2.85e-08	-1.09978e-06	-1.49998e-05
2.86e-08	-1.10082e-06	-1.55207e-05
2.87e-08	-1.02724e-06	-1.60466e-05
2.88e-08	-1.03068e-06	-1.65673e-05
2.89e-08	-9.59452e-07	-1.70932e-05
2.9e-08	-9.65141e-07	-1.76138e-05
2.91e-08	-8.96105e-07	-1.81398e-05
2.92e-08	-9.03891e-07	-1.86606e-05
2.93e-08	-8.36908e-07	-1.91869e-05
2.94e-08	-8.46655e-07	-1.97082e-05
2.95e-08	-7.81591e-07	-2.0235e-05
2.96e-08	-7.93169e-07	-2.0757e-05
2.97e-08	-7.299e-07	-2.12845e-05
2.98e-08	-7.43189e-07	-2.18073e-05
2.99e-08	-6.816e-07	-2.23358e-05
3e-08	-6.96488e-07	-2.28596e-05
3.01e-08	-6.36469e-07	-2.33893e-05
3.02e-08	-6.5285e-07	-2.39143e-05
3.03e-08	-5.943e-07	-2.44453e-05
3.04e-08	-6.12075e-07	-2.49718e-05
3.05e-08	-5.54899e-07	-2.55043e-05
3.06e-08	-5.73978e-07	-2.60325e-05
3.07e-08	-5.18086e-07	-2.65667e-05
3.08e-08	-5.38382e-07	-2.70966e-05
3.09e-08	-4.83692e-07	-2.76327e-05
3.1e-08	-5.05125e-07	-2.81647e-05
3.11e-08	-4.5156e-07	-2.87029e-05
3.12e-08	-4.74054e-07	-2.9237e-05
3.13e-08	-4.2154e-07	-2.97775e-05
3.14e-08	-4.45027e-07	-3.0314e-05
3.15e-08	-3.93496e-07	-3.0857e-05
3.16e-08	-4.17908e-07	-3.1396e-05
3.17e-08	-3.67298e-07	-3.19416e-05
3.18e-08	-3.92575e-07	-3.24834e-05
3.19e-08	-3.42825e-07	-3.30318e-05
3.2e-08	-3.68909e-07	-3.35765e-05
3.21e-08	-3.19965e-07	-3.41279e-05
3.22e-08	-3.46803e-07	-3.46757e-05
3.23e-08	-2.98612e-07	-3.52302e-05
3.24e-08	-3.26154e-07	-3.57813e-05
3.25e-08	-2.78668e-07	-3.63393e-05
3.26e-08	-3.06867e-07	-3.68938e-05
3.27e-08	-2.60041e-07	-3.74553e-05
3.28e-08	-2.88852e-07	-3.80135e-05
3.29e-08	-2.42644e-07	-3.85787e-05
3.3e-08	-2.72027e-07	-3.91408e-05
3.31e-08	-2.26397e-07	-3.971e-05
3.32e-08	-2.56314e-07	-4.0276e-05
3.33e-08	-2.11225e-07	-4.08493e-05
3.34e-08	-2.4164e-07	-4.14196e-05
3.35e-08	-1.97057e-07	-4.19972e-05
3.36e-08	-2.27937e-07	-4.25719e-05
3.37e-08	-1.83828e-07	-4.3154e-05
3.38e-08	-2.15141e-07	-4.37333e-05
3.39e-08	-1.71476e-07	-4.43202e-05
3.4e-08	-2.03193e-07	-4.49043e-05
3.41e-08	-1.59943e-07	-4.54961e-05
3.42e-08	-1.92038e-07	-4.60853e-05
3.43e-08	-1.49177e-07	-4.66822e-05
3.44e-08	-1.81623e-07	-4.72765e-05
3.45e-08	-1.39127e-07	-4.78788e-05
3.46e-08	-1.71901e-07	-4.84786e-05
3.47e-08	-1.29746e-07	-4.90864e-05
3.48e-08	-1.62825e-07	-4.96919e-05
3.49e-08	-1.20989e-07	-5.03055e-05
3.5e-08	-1.54353e-07	-5.09169e-05
3.51e-08	-1.12817e-07	-5.15365e-05
3.52e-08	-1.46446e-07	-5.2154e-05
3.53e-08	-1.05191e-07	-5.27799e-05
3.54e-08	-1.39066e-07	-5.34038e-05
3.55e-08	-9.80746e-08	-5.40361e-05
3.56e-08	-1.32179e-07	-5.46666e-05
3.57e-08	-9.14347e-08	-5.53057e-05
3.58e-08	-1.25753e-07	-5.59431e-05
3.59e-08	-8.524e-08	-5.65891e-05
3.6e-08	-1.19757e-07	-5.72336e-05
3.61e-08	-7.94613e-08	-5.78869e-05
3.62e-08	-1.14164e-07	-5.85388e-05
3.63e-08	-7.40712e-08	-5.91997e-05
3.64e-08	-1.08946e-07	-5.98592e-05
3.65e-08	-6.90441e-08	-6.05279e-05
3.66e-08	-1.04079e-07	-6.11954e-05
3.67e-08	-6.43562e-08	-6.18721e-05
3.68e-08	-9.95392e-08	-6.25479e-05
3.69e-08	-5.99851e-08	-6.3233e-05
3.7e-08	-9.5306e-08	-6.39173e-05
3.71e-08	-5.591e-08	-6.46112e-05
3.72e-08	-9.1359e-08	-6.53043e-05
3.73e-08	-5.21114e-08	-6.60072e-05
3.74e-08	-8.76791e-08	-6.67096e-05
3.75e-08	-4.85709e-08	-6.74218e-05
3.76e-08	-8.42488e-08	-6.81337e-05
3.77e-08	-4.52717e-08	-6.88556e-05
3.78e-08	-8.10515e-08	-6.95774e-05
3.79e-08	-4.21976e-08	-7.03094e-05
3.8e-08	-7.80719e-08	-7.10414e-05
3.81e-08	-3.9334e-08	-7.17839e-05
3.82e-08	-7.52956e-08	-7.25265e-05
3.83e-08	-3.66667e-08	-7.32798e-05
3.84e-08	-7.27091e-08	-7.40335e-05
3.85e-08	-3.41829e-08	-7.4798e-05
3.86e-08	-7.02999e-08	-7.55631e-05
3.87e-08	-3.18703e-08	-7.63392e-05
3.88e-08	-6.80561e-08	-7.71162e-05
3.89e-08	-2.97175e-08	-7.79044e-05
3.9e-08	-6.59667e-08	-7.86937e-05
3.91e-08	-2.7714e-08	-7.94944e-05
3.92e-08	-6.40216e-08	-8.02965e-05
3.93e-08	-2.58499e-08	-8.11102e-05
3.94e-08	-6.2211e-08	-8.19255e-05
3.95e-08	-2.41157e-08	-8.27528e-05
3.96e-08	-6.05261e-08	-8.35819e-05
3.97e-08	-2.25029e-08	-8.44231e-05
3.98e-08	-5.89584e-08	-8.52665e-05
3.99e-08	-2.10033e-08	-8.61223e-05
4e-08	-5.75e-08	-8.69805e-05
4.01e-08	-1.96093e-08	-8.78515e-05
4.02e-08	-5.61437e-08	-8.87251e-05
4.03e-08	-1.83139e-08	-8.96118e-05
4.04e-08	-5.48826e-08	-9.05014e-05
4.05e-08	-1.71104e-08	-9.14044e-05
4.06e-08	-5.37102e-08	-9.23107e-05
4.07e-08	-1.59927e-08	-9.32307e-05
4.08e-08	-5.26206e-08	-9.41543e-05
4.09e-08	-1.49548e-08	-9.50919e-05
4.1e-08	-5.16082e-08	-9.60336e-05
4.11e-08	-1.39915e-08	-9.69896e-05
4.12e-08	-5.06678e-08	-9.79499e-05
4.13e-08	-1.30976e-08	-9.8925e-05
4.14e-08	-4.97943e-08	-9.99049e-05
4.15e-08	-1.22684e-08	-0.0001009
4.16e-08	-4.89834e-08	-0.0001019
4.17e-08	-1.14995e-08	-0.000102916
4.18e-08	-4.82306e-08	-0.000103937
4.19e-08	-1.07867e-08	-0.000104975
4.2e-08	-4.7532e-08	-0.000106018
4.21e-08	-1.01263e-08	-0.000107078
4.22e-08	-4.68839e-08	-0.000108144
4.23e-08	-9.51448e-09	-0.000109227
4.24e-08	-4.62827e-08	-0.000110318
4.25e-08	-8.94799e-09	-0.000111425
4.26e-08	-4.57253e-08	-0.000112541
4.27e-08	-8.42364e-09	-0.000113674
4.28e-08	-4.52084e-08	-0.000114816
4.29e-08	-7.93847e-09	-0.000115976
4.3e-08	-4.47294e-08	-0.000117144
