Time(s)	V(102)	I(VDD)
2.74	4.67876	-0.00321238
2.75	4.68196	-0.00318042
2.76	4.68512	-0.00314877
2.77	4.68826	-0.00311744
2.78	4.69136	-0.00308642
2.79	4.69443	-0.00305571
2.8	4.69747	-0.00302531
2.81	4.70048	-0.0029952
2.82	4.70346	-0.0029654
2.83	4.70641	-0.00293589
2.84	4.70933	-0.00290668
2.85	4.71222	-0.00287776
2.86	4.71509	-0.00284912
2.87	4.71792	-0.00282077
2.88	4.72073	-0.00279271
2.89	4.72351	-0.00276492
2.9	4.72626	-0.00273741
2.91	4.72898	-0.00271017
2.92	4.73168	-0.0026832
2.93	4.73435	-0.0026565
2.94	4.73699	-0.00263007
2.95	4.73961	-0.0026039
2.96	4.7422	-0.00257799
2.97	4.74477	-0.00255234
2.98	4.74731	-0.00252694
2.99	4.74982	-0.0025018
3	4.75231	-0.00247691
3.01	4.75477	-0.00245226
3.02	4.75721	-0.00242786
3.03	4.75963	-0.0024037
3.04	4.76202	-0.00237978
3.05	4.76439	-0.00235611
3.06	4.76673	-0.00233266
3.07	4.76905	-0.00230945
3.08	4.77135	-0.00228647
3.09	4.77363	-0.00226372
3.1	4.77588	-0.0022412
3.11	4.77811	-0.0022189
3.12	4.78032	-0.00219682
3.13	4.7825	-0.00217496
3.14	4.78467	-0.00215332
3.15	4.78681	-0.00213189
3.16	4.78893	-0.00211068
3.17	4.79103	-0.00208968
3.18	4.79311	-0.00206888
3.19	4.79517	-0.0020483
3.2	4.79721	-0.00202792
3.21	4.79923	-0.00200774
3.22	4.80122	-0.00198776
3.23	4.8032	-0.00196798
3.24	4.80516	-0.0019484
3.25	4.8071	-0.00192901
3.26	4.80902	-0.00190982
3.27	4.81092	-0.00189082
3.28	4.8128	-0.001872
3.29	4.81466	-0.00185337
3.3	4.81651	-0.00183493
3.31	4.81833	-0.00181667
3.32	4.82014	-0.0017986
3.33	4.82193	-0.0017807
3.34	4.8237	-0.00176298
3.35	4.82546	-0.00174544
3.36	4.82719	-0.00172807
3.37	4.82891	-0.00171088
3.38	4.83061	-0.00169386
3.39	4.8323	-0.001677
3.4	4.83397	-0.00166031
3.41	4.83562	-0.00164379
3.42	4.83726	-0.00162744
3.43	4.83888	-0.00161124
3.44	4.84048	-0.00159521
3.45	4.84207	-0.00157934
3.46	4.84364	-0.00156362
3.47	4.84519	-0.00154807
3.48	4.84673	-0.00153266
3.49	4.84826	-0.00151741
3.5	4.84977	-0.00150231
3.51	4.85126	-0.00148737
3.52	4.85274	-0.00147257
3.53	4.85421	-0.00145791
3.54	4.85566	-0.00144341
3.55	4.8571	-0.00142904
3.56	4.85852	-0.00141482
3.57	4.85993	-0.00140075
3.58	4.86132	-0.00138681
3.59	4.8627	-0.00137301
3.6	4.86407	-0.00135935
3.61	4.86542	-0.00134582
3.62	4.86676	-0.00133243
3.63	4.86808	-0.00131917
3.64	4.8694	-0.00130605
3.65	4.87069	-0.00129305
3.66	4.87198	-0.00128019
3.67	4.87326	-0.00126745
3.68	4.87452	-0.00125484
3.69	4.87577	-0.00124235
3.7	4.877	-0.00122999
3.71	4.87823	-0.00121775
3.72	4.87944	-0.00120563
3.73	4.88064	-0.00119364
3.74	4.88182	-0.00118176
3.75	4.883	-0.00117
3.76	4.88416	-0.00115836
3.77	4.88532	-0.00114683
3.78	4.88646	-0.00113542
3.79	4.88759	-0.00112412
3.8	4.88871	-0.00111294
3.81	4.88981	-0.00110186
3.82	4.89091	-0.0010909
3.83	4.892	-0.00108005
3.84	4.89307	-0.0010693
3.85	4.89413	-0.00105866
3.86	4.89519	-0.00104813
3.87	4.89623	-0.0010377
3.88	4.89726	-0.00102737
3.89	4.89829	-0.00101715
3.9	4.8993	-0.00100703
3.91	4.9003	-0.000997007
3.92	4.90129	-0.000987087
3.93	4.90227	-0.000977265
3.94	4.90325	-0.000967541
3.95	4.90421	-0.000957914
3.96	4.90516	-0.000948382
3.97	4.90611	-0.000938946
3.98	4.90704	-0.000929603
3.99	4.90796	-0.000920353
4	4.90888	-0.000911195
4.01	4.90979	-0.000902129
4.02	4.91068	-0.000893152
4.03	4.91157	-0.000884265
4.04	4.91245	-0.000875467
4.05	4.91332	-0.000866756
4.06	4.91419	-0.000858131
4.07	4.91504	-0.000849593
4.08	4.91589	-0.000841139
4.09	4.91672	-0.000832769
4.1	4.91755	-0.000824483
4.11	4.91837	-0.000816279
4.12	4.91918	-0.000808157
4.13	4.91999	-0.000800116
4.14	4.92078	-0.000792154
4.15	4.92157	-0.000784272
4.16	4.92235	-0.000776469
4.17	4.92313	-0.000768742
4.18	4.92389	-0.000761093
4.19	4.92465	-0.00075352
4.2	4.9254	-0.000746022
4.21	4.92614	-0.000738599
4.22	4.92687	-0.00073125
4.23	4.9276	-0.000723974
4.24	4.92832	-0.00071677
4.25	4.92904	-0.000709638
4.26	4.92974	-0.000702577
4.27	4.93044	-0.000695586
4.28	4.93113	-0.000688665
4.29	4.93182	-0.000681813
4.3	4.9325	-0.000675028
4.31	4.93317	-0.000668312
4.32	4.93383	-0.000661662
4.33	4.93449	-0.000655078
4.34	4.93514	-0.00064856
4.35	4.93579	-0.000642107
4.36	4.93643	-0.000635718
4.37	4.93706	-0.000629392
4.38	4.93769	-0.000623129
4.39	4.93831	-0.000616929
4.4	4.93892	-0.000610791
4.41	4.93953	-0.000604713
4.42	4.94013	-0.000598696
4.43	4.94073	-0.000592739
4.44	4.94132	-0.000586841
4.45	4.9419	-0.000581002
4.46	4.94248	-0.000575221
4.47	4.94305	-0.000569497
4.48	4.94362	-0.00056383
4.49	4.94418	-0.00055822
4.5	4.94473	-0.000552666
4.51	4.94528	-0.000547167
4.52	4.94583	-0.000541722
4.53	4.94637	-0.000536332
4.54	4.9469	-0.000530995
4.55	4.94743	-0.000525712
4.56	4.94795	-0.000520481
4.57	4.94847	-0.000515302
4.58	4.94898	-0.000510174
4.59	4.94949	-0.000505098
4.6	4.94999	-0.000500072
4.61	4.95049	-0.000495096
4.62	4.95098	-0.00049017
4.63	4.95147	-0.000485293
4.64	4.95195	-0.000480464
4.65	4.95243	-0.000475683
4.66	4.95291	-0.00047095
4.67	4.95337	-0.000466264
4.68	4.95384	-0.000461624
4.69	4.9543	-0.000457031
4.7	4.95475	-0.000452484
4.71	4.9552	-0.000447981
4.72	4.95565	-0.000443524
4.73	4.95609	-0.000439111
4.74	4.95653	-0.000434741
4.75	4.95696	-0.000430416
4.76	4.95739	-0.000426133
4.77	4.95781	-0.000421893
4.78	4.95823	-0.000417695
4.79	4.95865	-0.000413539
4.8	4.95906	-0.000409424
4.81	4.95947	-0.00040535
4.82	4.95987	-0.000401317
4.83	4.96027	-0.000397323
4.84	4.96066	-0.00039337
4.85	4.96105	-0.000389456
4.86	4.96144	-0.000385581
4.87	4.96183	-0.000381744
